sample_id,text,source_wav_path,duration
bahraini_sft_conversation_gen_single_speaker_cleaned_001086_response,إذا في تضارب كبير بالقصص، أو آثار ضرر قديمة، أو مستندات مو صحيحة، أو تعديل بالصور/الفيديو. الأفضل تعطي معلومات دقيقة وما تضيف شي مو متأكد منه. الشفافية هني تحميك.,,
bahraini_sft_conversation_gen_single_speaker_cleaned_000699_response,ولا يهم، عادة إذا الموعد فات لازم تحجز موعد جديد أو تراجع الاستقبال يشوفون إذا يقدرون يدخلونك حسب الضغط. الأفضل تحجز أقرب وقت وتكتب ملاحظة إنك تأخرت بسبب الزحمة إذا فيه خانة.,,
bahraini_sft_conversation_gen_cleaned_000849_response,تقدر تقدم تظلم خلال المدة المحددة بعد نزول الدرجات. عادة تعبي نموذج وتدفع رسوم بسيطة إذا موجودة، وبعدين يراجعون ورقتك. تبي تراجع اختبار نهائي ولا أعمال سنة؟,,
bahraini_conversation_multiturn_gen_single_speaker_cleaned_000256_assistant_01,الغسالة نفسها مو دايم المشكلة، اللي يرفع وايد هو الماء الحار إذا الغسالة تسخن الماي أو عندك سخان شغال. تستخدم برنامج Hot ولا Cold؟,,
bahraini_sft_conversation_gen_single_speaker_cleaned_001046_response,اسألهم عن عنوان الاستلام وشنو تكتب على الطرد: اسمك + رقم الحجز + تاريخ الوصول. بعد اسأل إذا في رسوم handling. وإذا في شي ضروري، بلغهم يتصلون فيك أول ما يوصل.,,
bahraini_sft_conversation_gen_single_speaker_cleaned_001084_response,البلاغ هو تسجيل الحادث وإعطاء رقم للمتابعة، والتقرير يكون فيه تفاصيل الحادث وتحديد الخطأ أحيانًا. شركات التأمين غالبًا تحتاج التقرير أو الإفادة الرسمية. احتفظ بالاثنين إذا موجودين.,,
bahraini_sft_conversation_gen_single_speaker_cleaned_001093_response,هذا خصم يعطونك إياه إذا ما سويت مطالبات فترة معينة. أول ما تسوي مطالبة، ممكن ينخفض الخصم أو يختفي وقت التجديد حسب سياسة الشركة. مو كل الشركات نفس الشي.,,
bahraini_sft_conversation_gen_cleaned_000156_response,عندنا أكثر من خيار حسب المنطقة. قولي وين عنوانك وشنو المنتج (تقريبا وزنه/حجمه)، وبأقول لك وقت التوصيل المتوقع والتكلفة.,,
bahraini_conversation_multiturn_gen_single_speaker_cleaned_000008_assistant_01,هني في (اسم المنطقة) قريب من (معلم معروف). تبي أرسل لك وصف سريع حسب انت من أي جهة داخل البحرين؟,,
bahraini_conversation_multiturn_gen_single_speaker_cleaned_000252_assistant_03,هني طبيعي ترتفع. مكيف الشباك عادة أقل كفاءة، ومع شمس العصر يصير شغل متواصل. إذا تقدّرون: ستاير Blackout، سدّ فتحات الهوا، وخلو درجة 26-27 بدل 20-22.,,
bahraini_conversation_multiturn_gen_single_speaker_cleaned_000343_assistant_03,حتى مع الورشة مرات يحتاجون IBAN لو طلع فرق لك أو استرجاع. قول لهم إنك تبي repair، وخلهم يوضحون ليش طلبوه بالضبط على ملفك.,,
