sample_id,text,source_wav_path,duration
jsonl_000000_response,اوكي، احجز لج عند عيادة الأنف والأذن. عطيني اليوم اللي تبي، الفترة صباح ولا عصر، واسم الدكتور إذا عندك تفضيل.,,
jsonl_000001_response,اي موجود، بس يعتمد على اليوم والوقت. شنو يناسبك أكثر: صباح أو عقب الظهر؟,,
jsonl_000002_response,اي تقدر تغيّره. عطيني اسم المريض ورقم الملف أو رقم الجوال، وشنو الموعد الحالي عشان أطلع لك أقرب بديل.,,
jsonl_000003_response,ممكن الرقم المسجّل مو صحيح أو الرسالة تأخرت. عطيني رقم الجوال واسم المريض وبتأكد لك من الحجز وبنرسل التأكيد مرة ثانية.,,
jsonl_000004_response,الإلغاء عادة يكون مجاني إذا قبل الموعد بوقت كافي. قول لي موعدك متى، وبخبرك إذا داخل المدة المسموح فيها وبألغيه لك.,,
jsonl_000005_response,إن شاء الله نساعد. شنو العيادة المطلوبة، وهل الألم طارئ لدرجة يحتاج نفس اليوم؟ إذا عطيتني الاسم ورقمك أشوف لك أقرب شاغر.,,
jsonl_000006_response,عادة نحتاج بطاقة التأمين والبطاقة الذكية، وبعض الشركات تحتاج موافقة مسبقة حسب التخصص. عطيني اسم شركة التأمين والتخصص وبقول لك المتطلبات بالضبط.,,
jsonl_000007_response,آخر المواعيد يختلف حسب العيادة والدكتور. شنو التخصص اللي تبيه وبأي يوم، عشان أعطيك آخر slot متاح.,,
jsonl_000008_response,في بعض التخصصات نقدر نسوي استشارة اونلاين إذا الحالة تناسب. شنو التخصص وشنو سبب الزيارة بشكل مختصر؟,,
jsonl_000009_response,تمام، نحتاج اسم الطفل وتاريخ الميلاد، وشنو المشكلة أو سبب المراجعة. وتبي الموعد صباح ولا عصر؟,,
jsonl_000010_response,هلا فيك، بس تجيب البطاقة الذكية وأي تقارير أو أدوية تستخدمها. إذا تبيني أسوي لك ملف قبل الموعد، عطيني الاسم الثلاثي ورقم الجوال.,,
jsonl_000011_response,زين، أطلع لك أقرب موعد متاح وأقل وقت انتظار عادة يكون الصبح بدري. تبي خلال هالأسبوع ولا الأسبوع الياي؟,,
jsonl_000012_response,اي نقدر. عطيني اسمج ورقم الملف أو رقم الجوال، وقولي اسم الدكتور إذا تتذكرينه عشان أثبّت لج عنده.,,
jsonl_000013_response,اي ممكن إذا الجدول يسمح. عطيني موعدج اليوم والاسم، وبشوف إذا نقدر نزحزح الموعد أو نحطج على انتظار.,,
jsonl_000014_response,اوكي، نحتاج اسم الوالدة ورقمها المدني أو رقم الملف إذا موجود، ورقم تواصل. شنو التخصص والوقت اللي يناسبكم؟,,
jsonl_000015_response,تمام، نرتب لك مراجعة نتائج. قول لي اسم الدكتور والتخصص، ومتى سويت التحاليل عشان نعطيك موعد مناسب.,,
jsonl_000016_response,عادي بس يعتمد على مدى التأخير والزحمة. إذا بتتأخر وايد، الأفضل تبلغنا عشان نحاول نثبتك أو نبدّل لك أقرب وقت.,,
jsonl_000017_response,قول لي أي فرع تقصد، وبعطيك العنوان المختصر ووين المواقف وأي مدخل تستخدمه.,,
jsonl_000018_response,زين، نحطك على قائمة الانتظار. عطيني اسم المريض ورقم الجوال، وأي أيام وأوقات تقدر تحضر فيها.,,
jsonl_000019_response,الموعد الجديد أول زيارة عند الطبيب لهالمشكلة، والمراجعة تكون متابعة بعد فحص أو علاج. تبين نحجز لج أي واحد فيهم؟,,
jsonl_000020_response,اوكي نرتب لك عند الاستشاري إذا متوفر. عطيني اليوم اللي تبيه والفترة، وإذا عندك اسم دكتور محدد قول لي.,,
